DATE,region_code,total_consum(Wh),max_tem,min_tem,wind_speed,morning_tem,noon_tem,evening_tem,total_precip,humidity,visibility,PRESSURE_MAX_MB,CLOUDCOVER_AVG_PERCENT,heat_index,DEWPOINT_MAX_C,wind_tem,WEATHER_CODE_MORNING,WEATHER_CODE_NOON,WEATHER_CODE_EVENING,snow,UV_INDEX,SUNHOUR,night_tem
2023-01-31,24,33578649581.0,7.333333333333333,0.0,14.0,0.0,5.666666666666667,5.0,0.0,93.16666666666667,9.833333333333334,1033.3333333333333,41.9375,7.333333333333333,2.6666666666666665,-1.6666666666666667,113.0,116.0,118.5,0.0,2.0,6.983333333333333,0.6666666666666666
2023-02-01,24,31682587618.0,8.166666666666666,3.5,24.333333333333332,4.666666666666667,6.833333333333333,7.666666666666667,0.35000000000000003,95.33333333333333,9.666666666666666,1030.1666666666667,84.33333333333333,8.166666666666666,4.333333333333333,1.0,149.0,121.5,147.5,0.0,2.3333333333333335,3.5,4.0
2023-02-02,24,30795639995.0,10.666666666666666,3.5,17.333333333333332,5.0,9.5,7.833333333333333,0.0,88.83333333333333,10.0,1034.1666666666667,48.645833333333336,10.666666666666666,4.833333333333333,0.5,116.0,113.5,118.0,0.0,2.5,8.6,5.5
2023-02-03,24,30301532929.0,13.166666666666666,4.0,9.5,4.5,11.5,8.333333333333334,0.0,91.33333333333333,10.0,1036.8333333333333,18.979166666666668,13.166666666666666,6.833333333333333,2.8333333333333335,114.0,113.0,113.0,0.0,2.6666666666666665,8.883333333333333,5.0
2023-02-04,24,29769461303.0,13.333333333333334,3.6666666666666665,15.0,3.6666666666666665,11.166666666666666,8.666666666666666,0.0,91.83333333333333,10.0,1039.5,19.8125,13.333333333333334,6.833333333333333,1.3333333333333333,113.0,113.5,116.5,0.0,3.0,9.266666666666667,4.0
2023-02-05,24,29467404644.0,9.333333333333334,3.3333333333333335,21.833333333333332,4.833333333333333,8.0,7.333333333333333,0.0,95.66666666666667,9.166666666666666,1041.5,42.1875,9.333333333333334,5.166666666666667,1.1666666666666667,123.5,119.5,114.0,0.0,2.5,7.900000000000001,5.833333333333333
2023-02-06,24,31306358852.0,9.0,1.0,21.833333333333332,1.0,5.666666666666667,6.0,0.0,91.5,10.0,1039.8333333333333,16.8125,9.0,0.5,-4.0,116.5,113.5,113.0,0.0,2.1666666666666665,9.883333333333335,1.8333333333333333
2023-02-07,24,33403829959.0,8.0,0.0,20.166666666666668,1.3333333333333333,4.666666666666667,6.166666666666667,0.0,84.66666666666667,10.0,1035.3333333333333,31.354166666666668,8.0,1.3333333333333333,-5.166666666666667,118.5,113.0,113.0,0.0,1.6666666666666667,9.916666666666666,0.8333333333333334
2023-02-08,24,35011468981.0,9.0,-1.1666666666666667,23.166666666666668,-1.0,6.833333333333333,5.833333333333333,0.0,72.16666666666667,10.0,1035.1666666666667,7.979166666666667,9.0,0.0,-6.0,113.0,113.0,113.0,0.0,1.8333333333333333,9.950000000000001,-0.5
2023-02-09,24,35546665607.0,7.333333333333333,-1.5,8.333333333333334,-1.5,5.5,4.0,0.0,66.16666666666667,10.0,1037.0,10.791666666666666,7.333333333333333,0.0,-2.8333333333333335,113.0,114.5,116.0,0.0,2.0,9.933333333333334,-1.5
